ticker,name,sector
AAL,AMERICAN AIRLINES GROUP INC,Industrials
AAOI,APPLIED OPTOELECTRONICS INC,Technology
AAPL,APPLE INC,Technology
ABBV,ABBVIE INC,Healthcare
ABT,ABBOTT LABORATORIES,Healthcare
ACN,ACCENTURE PLC,Technology
ADBE,ADOBE INC,Technology
ADI,ANALOG DEVICES INC,Technology
ALAB,ASTERA LABS INC,Technology
AMAT,APPLIED MATERIALS INC,Technology
AMD,ADVANCED MICRO DEVICES INC,Technology
AMGN,AMGEN INC,Healthcare
AMZN,AMAZON COM INC,Consumer Cyclical
ANET,ARISTA NETWORKS INC,Technology
APH,AMPHENOL CORP,Technology
APP,APPLOVIN CORP,Technology
ARM,ARM HOLDINGS PLC,Technology
ASML,ASML HOLDING NV,Technology
ASTS,AST SPACEMOBILE INC,Technology
AVGO,BROADCOM INC,Technology
AXP,AMERICAN EXPRESS CO,Financial Services
AZO,AUTOZONE INC,Consumer Cyclical
BA,BOEING CO,Industrials
BABA,ALIBABA GROUP HOLDING LTD,Consumer Cyclical
BAC,BANK OF AMERICA CORP,Financial Services
BE,BLOOM ENERGY CORP,Industrials
BKNG,BOOKING HOLDINGS INC,Industrials
BLK,BLACKROCK INC,Financial Services
BRK-B,BERKSHIRE HATHAWAY INC,Financial Services
BSX,BOSTON SCIENTIFIC CORP,Healthcare
C,CITIGROUP INC,Financial Services
CAT,CATERPILLAR INC,Industrials
CBRS,CEREBRAS SYSTEMS INC,Technology
CDNS,CADENCE DESIGN SYSTEMS INC,Technology
CEG,CONSTELLATION ENERGY CORP,Utilities
CIEN,CIENA CORP,Technology
CLS,CELESTICA INC,Technology
CMCSA,COMCAST CORP,Communication Services
CME,CME GROUP INC,Financial Services
COF,CAPITAL ONE FINANCIAL CORP,Financial Services
COHR,COHERENT CORP,Technology
COIN,COINBASE GLOBAL INC,Financial Services
COP,CONOCOPHILLIPS,Energy
COST,COSTCO WHOLESALE CORP,Consumer Defensive
CRCL,CIRCLE INTERNET GROUP INC,Financial Services
CRDO,CREDO TECHNOLOGY GROUP HOLDING LTD,Technology
CRM,SALESFORCE INC,Technology
CRWD,CROWDSTRIKE HOLDINGS INC,Technology
CRWV,COREWEAVE INC,Technology
CSCO,CISCO SYSTEMS INC,Technology
CVS,CVS HEALTH CORP,Healthcare
CVX,CHEVRON CORP,Energy
DASH,DOORDASH INC,Communication Services
DDOG,DATADOG INC,Technology
DE,DEERE & CO,Industrials
DELL,DELL TECHNOLOGIES INC,Technology
DHR,DANAHER CORP,Healthcare
DIS,WALT DISNEY CO,Communication Services
ETN,EATON CORP PLC,Industrials
FCX,FREEPORT-MCMORAN INC,Basic Materials
FIX,COMFORT SYSTEMS USA INC,Industrials
FTNT,FORTINET INC,Technology
GE,GE AEROSPACE,Industrials
GEV,GE VERNOVA INC,Utilities
GILD,GILEAD SCIENCES INC,Healthcare
GLW,CORNING INC,Technology
GOOG,ALPHABET INC,Communication Services
GOOGL,ALPHABET INC,Communication Services
GS,GOLDMAN SACHS GROUP INC,Financial Services
HD,HOME DEPOT INC,Consumer Cyclical
HON,HONEYWELL INTERNATIONAL INC,Industrials
HOOD,ROBINHOOD MARKETS INC,Financial Services
HPE,HEWLETT PACKARD ENTERPRISE CO,Technology
IBM,INTERNATIONAL BUSINESS MACHINES CORP,Technology
INTC,INTEL CORP,Technology
INTU,INTUIT INC,Technology
IONQ,IONQ INC,Technology
IREN,IREN LTD,Financial Services
ISRG,INTUITIVE SURGICAL INC,Healthcare
JNJ,JOHNSON & JOHNSON,Healthcare
JPM,JPMORGAN CHASE & CO,Financial Services
KLAC,KLA CORP,Technology
KO,COCA COLA CO,Consumer Defensive
LIN,LINDE PLC,Basic Materials
LITE,LUMENTUM HOLDINGS INC,Technology
LLY,ELI LILLY & CO,Healthcare
LRCX,LAM RESEARCH CORP,Technology
MA,MASTERCARD INC,Financial Services
MCD,MCDONALDS CORP,Consumer Cyclical
MCHP,MICROCHIP TECHNOLOGY INC,Technology
MCK,MCKESSON CORP,Healthcare
MDT,MEDTRONIC PLC,Healthcare
MELI,MERCADOLIBRE INC,Consumer Cyclical
META,META PLATFORMS INC,Communication Services
MPWR,MONOLITHIC POWER SYSTEMS INC,Technology
MRK,MERCK & CO INC,Healthcare
MRVL,MARVELL TECHNOLOGY INC,Technology
